,Ticker,2018-03-23
0,XL,62.64
1,NFLX,49.67
2,CSRA,36.14
3,STX,31.1
4,AMZN,25.78
5,MU,24.14
6,DPS,23.81
7,RHT,22.19
8,EW,21.28
9,ADBE,21.0
10,HPE,20.67
11,IDXX,20.59
12,ADSK,19.51
13,NVDA,16.86
14,RTN,15.19
15,MSI,15.16
16,TRIP,15.16
17,GWW,14.57
18,WDC,13.47
19,NOC,13.28
20,MA,13.11
21,EL,12.7
22,APC,12.4
23,CTSH,11.71
24,GPN,11.67
25,EA,10.95
26,SPGI,10.93
27,HRS,10.64
28,HCA,10.36
29,TDG,10.07
30,NTAP,10.04
31,CMG,10.02
32,KSS,9.99
33,CRM,9.6
34,FE,9.47
35,CME,9.21
36,VRSN,9.16
37,CSCO,9.16
38,GD,9.14
39,EMN,9.05
40,FFIV,9.0
41,TSS,8.79
42,IPG,8.79
43,MCO,8.41
44,BA,8.14
45,PGR,7.8
46,EVHC,7.76
47,VAR,7.63
48,AJG,7.27
49,WYNN,7.07
50,AKAM,7.06
51,LRCX,7.05
52,INTU,7.02
53,CTAS,7.01
54,ETFC,6.56
55,VRSK,6.55
56,ISRG,6.37
57,MPC,6.1
58,TMO,6.05
59,CMA,5.91
60,XLNX,5.88
61,ATVI,5.8
62,LMT,5.58
63,ROP,5.46
64,INTC,5.4
65,VRTX,5.25
66,NDAQ,5.19
67,ILMN,5.06
68,FTV,5.03
69,UAA,4.99
70,ADM,4.89
71,UHS,4.82
72,FLR,4.82
73,AAP,4.48
74,MKC,4.44
75,FLIR,4.42
76,AMAT,4.39
77,COP,4.37
78,EBAY,4.34
79,AON,4.32
80,TJX,4.16
81,BSX,4.03
82,MCHP,3.98
83,HUM,3.96
84,QRVO,3.88
85,OKE,3.84
86,ALLE,3.82
87,DHR,3.79
88,MTB,3.69
89,RF,3.68
90,PYPL,3.52
91,SRE,3.44
92,M,3.42
93,HES,3.36
94,CTXS,3.28
95,NRG,3.08
96,WLTW,3.08
97,SWKS,3.03
98,NEE,2.84
99,AME,2.56
100,HPQ,2.49
101,BLK,2.39
102,TRV,2.21
103,V,2.17
104,RL,2.1
105,FITB,1.97
106,WAT,1.95
107,KLAC,1.93
108,PNC,1.81
109,NKE,1.8
110,LLL,1.73
111,STI,1.71
112,HP,1.7
113,JBHT,1.65
114,TEL,1.59
115,NEM,1.57
116,TROW,1.52
117,BBT,1.52
118,MSFT,1.43
119,CHRW,1.25
120,FIS,1.24
121,BMY,1.22
122,ABT,1.21
123,CXO,1.07
124,NOV,1.03
125,STT,1.02
126,DGX,0.89
127,KSU,0.85
128,AMT,0.81
129,FOXA,0.73
130,TWX,0.72
131,HBAN,0.68
132,ICE,0.67
133,CCI,0.67
134,PVH,0.64
135,TGT,0.37
136,BLL,0.36
137,URI,0.35
138,FOX,0.25
139,MMC,0.17
140,NBL,0.17
141,LH,0.12
142,PKI,0.07
143,MAR,0.01
144,NTRS,-0.01
145,SYK,-0.21
146,MS,-0.23
147,SCHW,-0.23
148,PXD,-0.26
149,RHI,-0.27
150,MON,-0.31
151,WU,-0.42
152,TXT,-0.59
153,COO,-0.85
154,ETN,-0.86
155,JPM,-0.87
156,FLS,-0.92
157,ABBV,-0.97
158,CA,-0.98
159,COL,-0.99
160,CNC,-1.09
161,FAST,-1.27
162,AES,-1.47
163,L,-1.64
164,ECL,-1.67
165,GILD,-1.7
166,VLO,-1.7
167,RSG,-1.71
168,EIX,-1.72
169,UA,-1.79
170,XRX,-1.94
171,SYY,-1.95
172,CINF,-2.01
173,UAL,-2.25
174,A,-2.28
175,SBUX,-2.29
176,CAH,-2.4
177,BRK_B,-2.41
178,BAC,-2.44
179,STZ,-2.49
180,VFC,-2.7
181,RCL,-2.77
182,APH,-2.81
183,UNP,-2.83
184,ADI,-2.86
185,PBCT,-2.93
186,EFX,-3.09
187,GRMN,-3.12
188,EOG,-3.15
189,EXR,-3.15
190,PCG,-3.17
191,DOV,-3.28
192,CFG,-3.3
193,BDX,-3.32
194,VIAB,-3.37
195,IBM,-3.47
196,CCL,-3.51
197,WY,-3.54
198,OMC,-3.55
199,BBY,-3.59
200,CSX,-3.67
201,WM,-3.72
202,AAL,-3.74
203,WYN,-3.81
204,UNH,-3.89
205,ORLY,-3.94
206,ORCL,-3.95
207,COST,-3.97
208,TXN,-3.99
209,SJM,-4.01
210,GS,-4.07
211,GOOG,-4.08
212,SCG,-4.14
213,PNR,-4.16
214,ACN,-4.22
215,AAPL,-4.25
216,DG,-4.25
217,AMGN,-4.28
218,BAX,-4.29
219,CHD,-4.31
220,GOOGL,-4.35
221,MDLZ,-4.48
222,KORS,-4.5
223,APD,-4.51
224,ESS,-4.54
225,UTX,-4.56
226,ANTM,-4.59
227,HRB,-4.71
228,EXC,-4.75
229,NWS,-4.76
230,EMR,-4.78
231,MRK,-5.0
232,DAL,-5.01
233,ITW,-5.06
234,NWSA,-5.3
235,PFE,-5.35
236,CAG,-5.38
237,CNP,-5.42
238,CB,-5.43
239,IR,-5.51
240,KEY,-5.6
241,JWN,-5.62
242,WRK,-5.67
243,BK,-5.74
244,ADP,-5.85
245,PEG,-6.08
246,PLD,-6.09
247,SHW,-6.11
248,BWA,-6.12
249,EXPD,-6.31
250,LNT,-6.32
251,DE,-6.34
252,ETR,-6.36
253,AGN,-6.36
254,HAL,-6.39
255,PSA,-6.43
256,ESRX,-6.74
257,HON,-6.79
258,DTE,-6.79
259,LYB,-6.84
260,MDT,-6.88
261,AET,-6.96
262,ROST,-7.03
263,KO,-7.05
264,PPG,-7.22
265,COF,-7.25
266,PNW,-7.31
267,NAVI,-7.34
268,K,-7.39
269,AEE,-7.5
270,SLG,-7.65
271,SLB,-7.74
272,FTI,-7.75
273,CMS,-7.88
274,WEC,-8.01
275,EQR,-8.11
276,CAT,-8.12
277,MAS,-8.13
278,PSX,-8.22
279,PAYX,-8.29
280,AEP,-8.31
281,KMX,-8.34
282,GPS,-8.36
283,PM,-8.39
284,BXP,-8.39
285,XEL,-8.51
286,HAS,-8.54
287,LOW,-8.57
288,AXP,-8.58
289,MLM,-8.59
290,SO,-8.61
291,HD,-8.63
292,FL,-8.67
293,C,-8.69
294,PX,-8.73
295,DISCA,-8.78
296,USB,-8.85
297,DFS,-8.89
298,MOS,-8.97
299,CBOE,-8.99
300,CL,-9.0
301,HIG,-9.01
302,NI,-9.07
303,COTY,-9.1
304,WHR,-9.14
305,AVGO,-9.19
306,DLR,-9.2
307,MRO,-9.32
308,MTD,-9.46
309,ALL,-9.49
310,ED,-9.57
311,HSIC,-9.63
312,DUK,-9.68
313,LNC,-9.69
314,HST,-9.83
315,MYL,-9.84
316,TIF,-9.86
317,LEG,-9.88
318,T,-9.96
319,NSC,-10.06
320,ES,-10.07
321,PEP,-10.09
322,LKQ,-10.11
323,EQIX,-10.12
324,JNJ,-10.15
325,JCI,-10.2
326,SWK,-10.21
327,AIG,-10.24
328,UDR,-10.3
329,TMK,-10.31
330,PRGO,-10.39
331,DVA,-10.39
332,GPC,-10.42
333,LEN,-10.46
334,HRL,-10.48
335,CHTR,-10.48
336,MCD,-10.53
337,NUE,-10.64
338,ABC,-10.64
339,ALXN,-10.69
340,CPB,-10.8
341,AVB,-10.85
342,CTL,-10.86
343,AMG,-10.89
344,AVY,-10.91
345,GGP,-10.91
346,FDX,-10.92
347,MNST,-10.92
348,DISCK,-10.99
349,AWK,-11.06
350,SYMC,-11.1
351,AIV,-11.12
352,TSN,-11.26
353,PPL,-11.34
354,FCX,-11.38
355,CVX,-11.44
356,OXY,-11.48
357,LLY,-11.71
358,AIZ,-11.83
359,DIS,-11.86
360,ULTA,-11.91
361,SPG,-12.0
362,KMB,-12.03
363,FB,-12.14
364,MET,-12.16
365,CMI,-12.22
366,TAP,-12.26
367,VMC,-12.34
368,DRI,-12.53
369,MCK,-12.55
370,EXPE,-12.61
371,WBA,-12.7
372,MAA,-12.82
373,PRU,-12.83
374,O,-12.88
375,HOLX,-13.09
376,WMT,-13.36
377,HBI,-13.47
378,ROK,-13.48
379,AZO,-13.51
380,VZ,-13.53
381,PCAR,-13.8
382,HCP,-13.97
383,MAC,-14.01
384,NLSN,-14.05
385,PHM,-14.14
386,CLX,-14.2
387,IFF,-14.21
388,XOM,-14.28
389,HSY,-14.32
390,UNM,-14.36
391,CF,-14.42
392,LUV,-14.44
393,SRCL,-14.69
394,AMP,-14.73
395,GLW,-14.84
396,DHI,-15.2
397,BEN,-15.26
398,PH,-15.33
399,PWR,-15.37
400,DLTR,-15.4
401,IVZ,-15.49
402,VNO,-15.74
403,FBHS,-15.78
404,ADS,-15.79
405,GM,-15.86
406,FRT,-15.88
407,JNPR,-15.96
408,REGN,-16.02
409,IP,-16.1
410,D,-16.17
411,MO,-16.21
412,PG,-16.26
413,SYF,-16.34
414,APA,-16.46
415,MHK,-16.46
416,WFC,-16.55
417,F,-16.59
418,CBS,-16.73
419,SEE,-16.79
420,JEC,-16.9
421,CVS,-17.22
422,SNA,-17.32
423,MAT,-17.42
424,ALK,-17.5
425,CERN,-17.59
426,WMB,-17.66
427,GT,-17.67
428,INCY,-17.67
429,QCOM,-17.7
430,KR,-17.74
431,EQT,-17.74
432,UPS,-17.8
433,IRM,-17.87
434,PFG,-17.93
435,ARNC,-18.05
436,RRC,-18.25
437,LUK,-18.41
438,COG,-18.65
439,CI,-19.04
440,CMCSA,-19.24
441,VTR,-19.49
442,REG,-19.69
443,NWL,-19.88
444,CELG,-19.95
445,KMI,-20.16
446,HOG,-20.4
447,FMC,-21.12
448,TSCO,-21.54
449,BF_B,-21.57
450,KHC,-22.06
451,BIIB,-22.16
452,KIM,-22.68
453,DVN,-23.68
454,XRAY,-24.47
455,GIS,-25.12
456,XEC,-25.74
457,NFX,-25.96
458,AYI,-26.37
459,GE,-27.31
460,ALB,-29.11
461,SIG,-29.72
462,LB,-37.37
463,MNK,-40.73
464,FISV,-46.29
465,AFL,-50.72
466,MMM,
467,AN,
468,BHI,
469,BCR,
470,BBBY,
471,CBG,
472,CHK,
473,COH,
474,DLPH,
475,DOW,
476,DD,
477,DNB,
478,FSLR,
479,FTR,
480,HAR,
481,LVLT,
482,LLTC,
483,MJN,
484,MUR,
485,PDCO,
486,PCLN,
487,RAI,
488,R,
489,SNI,
490,SWN,
491,SPLS,
492,TGNA,
493,TDC,
494,TSO,
495,RIG,
496,URBN,
497,HCN,
498,WFM,
